area,location,seriescode,industry,time,current_emp,previous_emp
000000,Colorado,00000000,Total Nonfarm,2018-01-01,2661100,2711700
022660,Fort Collins-Loveland MSA,00000000,Total Nonfarm,2018-01-01,164400,168300
024540,Greeley MSA,00000000,Total Nonfarm,2018-01-01,105900,107100
017820,Colorado Springs MSA,00000000,Total Nonfarm,2018-01-01,284600,290200
039380,Pueblo MSA,00000000,Total Nonfarm,2018-01-01,62200,63200
019740,Denver - Aurora MSA,00000000,Total Nonfarm,2018-01-01,1464300,1490700
024300,Grand Junction MSA,00000000,Total Nonfarm,2018-01-01,61300,63800
014500,Boulder-Longmont MSA,00000000,Total Nonfarm,2018-01-01,188000,194100
024540,Greeley MSA,05000000,Total Private,2018-01-01,88600,89000
039380,Pueblo MSA,05000000,Total Private,2018-01-01,49600,50200
024300,Grand Junction MSA,05000000,Total Private,2018-01-01,51700,53200
014500,Boulder-Longmont MSA,05000000,Total Private,2018-01-01,151600,154300
000000,Colorado,05000000,Total Private,2018-01-01,2229900,2265600
022660,Fort Collins-Loveland MSA,05000000,Total Private,2018-01-01,125400,127700
019740,Denver - Aurora MSA,05000000,Total Private,2018-01-01,1267500,1290100
017820,Colorado Springs MSA,05000000,Total Private,2018-01-01,232800,237100
014500,Boulder-Longmont MSA,06000000,Goods Producing,2018-01-01,24200,24500
017820,Colorado Springs MSA,06000000,Goods Producing,2018-01-01,28700,29200
019740,Denver - Aurora MSA,06000000,Goods Producing,2018-01-01,171700,174200
024540,Greeley MSA,06000000,Goods Producing,2018-01-01,32300,32100
039380,Pueblo MSA,06000000,Goods Producing,2018-01-01,7700,7700
024300,Grand Junction MSA,06000000,Goods Producing,2018-01-01,9400,9800
000000,Colorado,06000000,Goods Producing,2018-01-01,335000,340600
022660,Fort Collins-Loveland MSA,06000000,Goods Producing,2018-01-01,24900,25100
014500,Boulder-Longmont MSA,07000000,Service-Providing,2018-01-01,163800,169600
024300,Grand Junction MSA,07000000,Service-Providing,2018-01-01,51900,54000
039380,Pueblo MSA,07000000,Service-Providing,2018-01-01,54500,55500
022660,Fort Collins-Loveland MSA,07000000,Service-Providing,2018-01-01,139500,143200
024540,Greeley MSA,07000000,Service-Providing,2018-01-01,73600,75000
019740,Denver - Aurora MSA,07000000,Service-Providing,2018-01-01,1292600,1316500
017820,Colorado Springs MSA,07000000,Service-Providing,2018-01-01,255900,261000
000000,Colorado,07000000,Service-Providing,2018-01-01,2326100,2371100
017820,Colorado Springs MSA,08000000,Private Service Providing,2018-01-01,204100,207900
019740,Denver - Aurora MSA,08000000,Private Service Providing,2018-01-01,1095800,1115900
024300,Grand Junction MSA,08000000,Private Service Providing,2018-01-01,42300,43400
024540,Greeley MSA,08000000,Private Service Providing,2018-01-01,56300,56900
000000,Colorado,08000000,Private Service Providing,2018-01-01,1894900,1925000
014500,Boulder-Longmont MSA,08000000,Private Service Providing,2018-01-01,127400,129800
022660,Fort Collins-Loveland MSA,08000000,Private Service Providing,2018-01-01,100500,102600
039380,Pueblo MSA,08000000,Private Service Providing,2018-01-01,41900,42500
000000,Colorado,10000000,Mining and Logging,2018-01-01,27300,27500
000000,Colorado,15000000,"Mining, Logging and Construction",2018-01-01,190200,195000
017820,Colorado Springs MSA,15000000,"Mining, Logging and Construction",2018-01-01,17000,17500
039380,Pueblo MSA,15000000,"Mining, Logging and Construction",2018-01-01,3400,3500
024540,Greeley MSA,15000000,"Mining, Logging and Construction",2018-01-01,19000,18800
024300,Grand Junction MSA,15000000,"Mining, Logging and Construction",2018-01-01,6400,6700
014500,Boulder-Longmont MSA,15000000,"Mining, Logging and Construction",2018-01-01,5500,5700
022660,Fort Collins-Loveland MSA,15000000,"Mining, Logging and Construction",2018-01-01,11000,11100
019740,Denver - Aurora MSA,15000000,"Mining, Logging and Construction",2018-01-01,102900,104900
000000,Colorado,20000000,Construction,2018-01-01,162900,167500
000000,Colorado,20236000,Construction of Buildings,2018-01-01,33000,33800
019740,Denver - Aurora MSA,20236000,Construction of Buildings,2018-01-01,17600,17800
000000,Colorado,20237000,Heavy and Civil Engineering Construction,2018-01-01,22000,22700
000000,Colorado,20238000,Specialty Trade Contractors,2018-01-01,107900,111000
019740,Denver - Aurora MSA,20238000,Specialty Trade Contractors,2018-01-01,63500,65100
017820,Colorado Springs MSA,20238000,Specialty Trade Contractors,2018-01-01,10600,10800
014500,Boulder-Longmont MSA,30000000,Manufacturing,2018-01-01,18700,18800
024540,Greeley MSA,30000000,Manufacturing,2018-01-01,13300,13300
039380,Pueblo MSA,30000000,Manufacturing,2018-01-01,4300,4200
022660,Fort Collins-Loveland MSA,30000000,Manufacturing,2018-01-01,13900,14000
024300,Grand Junction MSA,30000000,Manufacturing,2018-01-01,3000,3100
017820,Colorado Springs MSA,30000000,Manufacturing,2018-01-01,11700,11700
019740,Denver - Aurora MSA,30000000,Manufacturing,2018-01-01,68800,69300
000000,Colorado,30000000,Manufacturing,2018-01-01,144800,145600
000000,Colorado,31000000,Durable Goods,2018-01-01,90500,90600
019740,Denver - Aurora MSA,31000000,Durable Goods,2018-01-01,41800,41800
000000,Colorado,31332000,Fabricated Metal Product Manufacturing,2018-01-01,15000,15000
000000,Colorado,31334000,Computer and Electronic Product Manufact,2018-01-01,22200,22100
014500,Boulder-Longmont MSA,31334000,Computer and Electronic Product Manufact,2018-01-01,8200,8300
017820,Colorado Springs MSA,31334000,Computer and Electronic Product Manufact,2018-01-01,3100,3000
019740,Denver - Aurora MSA,31334000,Computer and Electronic Product Manufact,2018-01-01,5800,5800
022660,Fort Collins-Loveland MSA,31334000,Computer and Electronic Product Manufact,2018-01-01,3800,3900
000000,Colorado,31336000,Transportation Equipment Manufacturing,2018-01-01,9800,9900
019740,Denver - Aurora MSA,31336000,Transportation Equipment Manufacturing,2018-01-01,7900,7900
000000,Colorado,32000000,NonDurable Goods,2018-01-01,54300,55000
019740,Denver - Aurora MSA,32000000,NonDurable Goods,2018-01-01,27000,27500
024540,Greeley MSA,32000000,NonDurable Goods,2018-01-01,6200,6200
000000,Colorado,32312100,Beverage Manufacturing,2018-01-01,8300,8300
000000,Colorado,40000000,"Trade, Transportation, and Utilities",2018-01-01,465700,479200
014500,Boulder-Longmont MSA,40000000,"Trade, Transportation, and Utilities",2018-01-01,25400,25900
019740,Denver - Aurora MSA,40000000,"Trade, Transportation, and Utilities",2018-01-01,271500,279500
039380,Pueblo MSA,40000000,"Trade, Transportation, and Utilities",2018-01-01,11500,11800
024540,Greeley MSA,40000000,"Trade, Transportation, and Utilities",2018-01-01,18500,18900
017820,Colorado Springs MSA,40000000,"Trade, Transportation, and Utilities",2018-01-01,43400,45000
024300,Grand Junction MSA,40000000,"Trade, Transportation, and Utilities",2018-01-01,12900,13400
022660,Fort Collins-Loveland MSA,40000000,"Trade, Transportation, and Utilities",2018-01-01,26800,28000
022660,Fort Collins-Loveland MSA,41000000,Wholesale Trade,2018-01-01,4600,4700
014500,Boulder-Longmont MSA,41000000,Wholesale Trade,2018-01-01,6500,6300
024300,Grand Junction MSA,41000000,Wholesale Trade,2018-01-01,2400,2400
024540,Greeley MSA,41000000,Wholesale Trade,2018-01-01,4200,4200
039380,Pueblo MSA,41000000,Wholesale Trade,2018-01-01,1500,1400
019740,Denver - Aurora MSA,41000000,Wholesale Trade,2018-01-01,72400,72600
017820,Colorado Springs MSA,41000000,Wholesale Trade,2018-01-01,5600,5600
000000,Colorado,41000000,Wholesale Trade,2018-01-01,106700,107100
000000,Colorado,41423000,"Merchant Wholesalers, Durable Goods",2018-01-01,64000,64100
019740,Denver - Aurora MSA,41423000,"Merchant Wholesalers, Durable Goods",2018-01-01,45300,45400
019740,Denver - Aurora MSA,41424000,"Merchant Wholesalers, Nondurable Goods",2018-01-01,23600,23700
000000,Colorado,41424000,"Merchant Wholesalers, Nondurable Goods",2018-01-01,37600,37900
014500,Boulder-Longmont MSA,42000000,Retail Trade,2018-01-01,17300,17900
017820,Colorado Springs MSA,42000000,Retail Trade,2018-01-01,32700,34100
000000,Colorado,42000000,Retail Trade,2018-01-01,271300,281300
024300,Grand Junction MSA,42000000,Retail Trade,2018-01-01,8000,8400
039380,Pueblo MSA,42000000,Retail Trade,2018-01-01,7900,8200
019740,Denver - Aurora MSA,42000000,Retail Trade,2018-01-01,139500,145000
022660,Fort Collins-Loveland MSA,42000000,Retail Trade,2018-01-01,18900,19900
024540,Greeley MSA,42000000,Retail Trade,2018-01-01,10100,10500
017820,Colorado Springs MSA,42445000,Food and Beverage Stores,2018-01-01,5500,5600
019740,Denver - Aurora MSA,42445000,Food and Beverage Stores,2018-01-01,25800,26600
000000,Colorado,42445000,Food and Beverage Stores,2018-01-01,51900,53200
014500,Boulder-Longmont MSA,42445000,Food and Beverage Stores,2018-01-01,4400,4500
000000,Colorado,42452000,General Merchandise Stores,2018-01-01,53400,57100
019740,Denver - Aurora MSA,42452000,General Merchandise Stores,2018-01-01,28400,30400
017820,Colorado Springs MSA,42452000,General Merchandise Stores,2018-01-01,7200,7800
039380,Pueblo MSA,43000000,Transportation Warehousing and Utilities,2018-01-01,2100,2200
014500,Boulder-Longmont MSA,43000000,Transportation Warehousing and Utilities,2018-01-01,1600,1700
024300,Grand Junction MSA,43000000,Transportation Warehousing and Utilities,2018-01-01,2500,2600
024540,Greeley MSA,43000000,Transportation Warehousing and Utilities,2018-01-01,4200,4200
022660,Fort Collins-Loveland MSA,43000000,Transportation Warehousing and Utilities,2018-01-01,3300,3400
019740,Denver - Aurora MSA,43000000,Transportation Warehousing and Utilities,2018-01-01,59600,61900
017820,Colorado Springs MSA,43000000,Transportation Warehousing and Utilities,2018-01-01,5100,5300
000000,Colorado,43000000,Transportation Warehousing and Utilities,2018-01-01,87700,90800
000000,Colorado,43220000,Utilities,2018-01-01,8000,8000
019740,Denver - Aurora MSA,43220000,Utilities,2018-01-01,3600,3600
019740,Denver - Aurora MSA,43400089,Transportation and Warehousing,2018-01-01,56000,58300
000000,Colorado,43400089,Transportation and Warehousing,2018-01-01,79700,82800
000000,Colorado,43481000,Air Transportation,2018-01-01,15600,15800
019740,Denver - Aurora MSA,43481000,Air Transportation,2018-01-01,14500,14700
000000,Colorado,43484000,Truck Transportation,2018-01-01,19900,20600
000000,Colorado,43492000,Couriers and Messengers,2018-01-01,13100,14900
019740,Denver - Aurora MSA,43492000,Couriers and Messengers,2018-01-01,9500,10600
019740,Denver - Aurora MSA,43493000,Warehousing and Storage,2018-01-01,7100,7400
000000,Colorado,43493000,Warehousing and Storage,2018-01-01,10300,10700
000000,Colorado,50000000,Information,2018-01-01,73800,73500
014500,Boulder-Longmont MSA,50000000,Information,2018-01-01,8000,8000
019740,Denver - Aurora MSA,50000000,Information,2018-01-01,49300,48900
022660,Fort Collins-Loveland MSA,50000000,Information,2018-01-01,2900,2900
017820,Colorado Springs MSA,50000000,Information,2018-01-01,5700,5800
039380,Pueblo MSA,50000000,Information,2018-01-01,700,700
024540,Greeley MSA,50000000,Information,2018-01-01,700,700
024300,Grand Junction MSA,50000000,Information,2018-01-01,600,700
000000,Colorado,50511000,Publishing Industries,2018-01-01,20800,20800
019740,Denver - Aurora MSA,50511000,Publishing Industries,2018-01-01,10400,10400
014500,Boulder-Longmont MSA,50511000,Publishing Industries,2018-01-01,5100,5200
000000,Colorado,50511200,Software Publishers,2018-01-01,14300,14200
019740,Denver - Aurora MSA,50511200,Software Publishers,2018-01-01,8300,8200
017820,Colorado Springs MSA,50517000,Telecommunications,2018-01-01,1500,1500
019740,Denver - Aurora MSA,50517000,Telecommunications,2018-01-01,19400,19000
000000,Colorado,50517000,Telecommunications,2018-01-01,27100,26800
000000,Colorado,55000000,Financial Activities,2018-01-01,169400,171100
017820,Colorado Springs MSA,55000000,Financial Activities,2018-01-01,18100,18400
014500,Boulder-Longmont MSA,55000000,Financial Activities,2018-01-01,7000,7100
019740,Denver - Aurora MSA,55000000,Financial Activities,2018-01-01,109400,110500
039380,Pueblo MSA,55000000,Financial Activities,2018-01-01,1800,1900
022660,Fort Collins-Loveland MSA,55000000,Financial Activities,2018-01-01,6900,7000
024300,Grand Junction MSA,55000000,Financial Activities,2018-01-01,3100,3200
024540,Greeley MSA,55000000,Financial Activities,2018-01-01,4400,4500
019740,Denver - Aurora MSA,55520000,Finance and Insurance,2018-01-01,80300,80600
017820,Colorado Springs MSA,55520000,Finance and Insurance,2018-01-01,13200,13300
000000,Colorado,55520000,Finance and Insurance,2018-01-01,116600,117000
000000,Colorado,55522000,Credit Intermediation and Related Activi,2018-01-01,48000,48100
019740,Denver - Aurora MSA,55522000,Credit Intermediation and Related Activi,2018-01-01,31500,31500
000000,Colorado,55524000,Insurance Carriers and Related Activitie,2018-01-01,45400,45600
019740,Denver - Aurora MSA,55524000,Insurance Carriers and Related Activitie,2018-01-01,30300,30400
000000,Colorado,55530000,Real Estate and Rental and Leasing,2018-01-01,52800,54100
019740,Denver - Aurora MSA,55530000,Real Estate and Rental and Leasing,2018-01-01,29100,29900
019740,Denver - Aurora MSA,55531000,Real Estate,2018-01-01,21500,22300
000000,Colorado,55531000,Real Estate,2018-01-01,39800,41000
000000,Colorado,60000000,Professional and Business Services,2018-01-01,406900,415900
014500,Boulder-Longmont MSA,60000000,Professional and Business Services,2018-01-01,34400,34900
022660,Fort Collins-Loveland MSA,60000000,Professional and Business Services,2018-01-01,19500,20100
024300,Grand Junction MSA,60000000,Professional and Business Services,2018-01-01,4900,5100
017820,Colorado Springs MSA,60000000,Professional and Business Services,2018-01-01,43900,44500
039380,Pueblo MSA,60000000,Professional and Business Services,2018-01-01,6100,6200
024540,Greeley MSA,60000000,Professional and Business Services,2018-01-01,10000,10000
019740,Denver - Aurora MSA,60000000,Professional and Business Services,2018-01-01,261300,266900
017820,Colorado Springs MSA,60540000,"Professional, Scientific, and Technical",2018-01-01,25100,24800
000000,Colorado,60540000,"Professional, Scientific, and Technical",2018-01-01,218900,220500
014500,Boulder-Longmont MSA,60540000,"Professional, Scientific, and Technical",2018-01-01,27300,27600
019740,Denver - Aurora MSA,60540000,"Professional, Scientific, and Technical",2018-01-01,135600,136600
000000,Colorado,60541100,Legal Services,2018-01-01,19000,19400
000000,Colorado,60541300,"Architectural, Engineering, and Related",2018-01-01,46000,46300
019740,Denver - Aurora MSA,60541300,"Architectural, Engineering, and Related",2018-01-01,29500,29700
000000,Colorado,60541500,Computer Systems Design and Related Serv,2018-01-01,60200,60200
019740,Denver - Aurora MSA,60541500,Computer Systems Design and Related Serv,2018-01-01,36100,36100
019740,Denver - Aurora MSA,60541600,"Management, Scientific, and Technical Co",2018-01-01,20200,20600
000000,Colorado,60541600,"Management, Scientific, and Technical Co",2018-01-01,29700,30500
019740,Denver - Aurora MSA,60550000,Management of Companies and Enterprises,2018-01-01,32700,32600
000000,Colorado,60550000,Management of Companies and Enterprises,2018-01-01,40000,39900
022660,Fort Collins-Loveland MSA,60560000,Administrative and Support and Waste Man,2018-01-01,8000,8300
000000,Colorado,60560000,Administrative and Support and Waste Man,2018-01-01,148000,155500
019740,Denver - Aurora MSA,60560000,Administrative and Support and Waste Man,2018-01-01,93000,97700
019740,Denver - Aurora MSA,60561300,Employment Services,2018-01-01,31200,33700
017820,Colorado Springs MSA,60561300,Employment Services,2018-01-01,4100,4300
000000,Colorado,60561300,Employment Services,2018-01-01,45600,48700
000000,Colorado,60561400,Business Support Services,2018-01-01,21200,22600
000000,Colorado,60561700,Services to Buildings and Dwellings,2018-01-01,38600,40600
019740,Denver - Aurora MSA,60561700,Services to Buildings and Dwellings,2018-01-01,23900,25000
022660,Fort Collins-Loveland MSA,65000000,Educational and Health Services,2018-01-01,17800,17600
024540,Greeley MSA,65000000,Educational and Health Services,2018-01-01,10200,10300
039380,Pueblo MSA,65000000,Educational and Health Services,2018-01-01,13100,13100
024300,Grand Junction MSA,65000000,Educational and Health Services,2018-01-01,10900,10900
019740,Denver - Aurora MSA,65000000,Educational and Health Services,2018-01-01,185400,187200
014500,Boulder-Longmont MSA,65000000,Educational and Health Services,2018-01-01,25900,26200
017820,Colorado Springs MSA,65000000,Educational and Health Services,2018-01-01,39300,39600
000000,Colorado,65000000,Educational and Health Services,2018-01-01,336200,338800
017820,Colorado Springs MSA,65610000,Educational Services,2018-01-01,4900,5100
019740,Denver - Aurora MSA,65610000,Educational Services,2018-01-01,26200,26400
000000,Colorado,65610000,Educational Services,2018-01-01,40800,40900
017820,Colorado Springs MSA,65620000,Health Care and Social Assistance,2018-01-01,34400,34500
019740,Denver - Aurora MSA,65620000,Health Care and Social Assistance,2018-01-01,159200,160800
000000,Colorado,65620000,Health Care and Social Assistance,2018-01-01,295400,297900
000000,Colorado,65621000,Ambulatory Health Care Services,2018-01-01,133400,134400
019740,Denver - Aurora MSA,65621000,Ambulatory Health Care Services,2018-01-01,74300,75000
000000,Colorado,65621100,Offices of Physicians,2018-01-01,36800,37100
000000,Colorado,65622000,Hospitals,2018-01-01,61100,62200
019740,Denver - Aurora MSA,65622000,Hospitals,2018-01-01,32500,33200
000000,Colorado,65623000,Nursing and Residential Care Facilities,2018-01-01,43500,43800
000000,Colorado,65624000,Social Assistance,2018-01-01,57400,57500
024540,Greeley MSA,70000000,Leisure and Hospitality,2018-01-01,9000,9000
022660,Fort Collins-Loveland MSA,70000000,Leisure and Hospitality,2018-01-01,20500,20900
000000,Colorado,70000000,Leisure and Hospitality,2018-01-01,334800,337700
019740,Denver - Aurora MSA,70000000,Leisure and Hospitality,2018-01-01,162600,165900
017820,Colorado Springs MSA,70000000,Leisure and Hospitality,2018-01-01,36500,37400
014500,Boulder-Longmont MSA,70000000,Leisure and Hospitality,2018-01-01,20700,21500
039380,Pueblo MSA,70000000,Leisure and Hospitality,2018-01-01,6600,6700
024300,Grand Junction MSA,70000000,Leisure and Hospitality,2018-01-01,7400,7600
019740,Denver - Aurora MSA,70710000,"Arts, Entertainment, and Recreation",2018-01-01,24300,24900
000000,Colorado,70710000,"Arts, Entertainment, and Recreation",2018-01-01,58500,58100
000000,Colorado,70713000,"Amusement, Gambling, and Recreation Indu",2018-01-01,47100,46300
000000,Colorado,70713900,Other Amusement and Recreation Industrie,2018-01-01,43700,42800
017820,Colorado Springs MSA,70720000,Accommodation and Food Services,2018-01-01,31200,32000
019740,Denver - Aurora MSA,70720000,Accommodation and Food Services,2018-01-01,138300,141000
022660,Fort Collins-Loveland MSA,70720000,Accommodation and Food Services,2018-01-01,18100,18500
000000,Colorado,70720000,Accommodation and Food Services,2018-01-01,276300,279600
019740,Denver - Aurora MSA,70721000,Accommodation,2018-01-01,17200,17600
000000,Colorado,70721000,Accommodation,2018-01-01,47000,47000
017820,Colorado Springs MSA,70722000,Food Services and Drinking Places,2018-01-01,25300,25900
019740,Denver - Aurora MSA,70722000,Food Services and Drinking Places,2018-01-01,121100,123400
000000,Colorado,70722000,Food Services and Drinking Places,2018-01-01,229300,232600
000000,Colorado,70722500,Full-Service Restaurants,2018-01-01,210400,212700
019740,Denver - Aurora MSA,70722500,Full-Service Restaurants,2018-01-01,109600,111200
019740,Denver - Aurora MSA,70722511,Full-Service Restaurants,2018-01-01,58200,59300
000000,Colorado,70722511,Full-Service Restaurants,2018-01-01,113300,114400
019740,Denver - Aurora MSA,70722590,Limited-Service Eating Places,2018-01-01,51400,51900
000000,Colorado,70722590,Limited-Service Eating Places,2018-01-01,97100,98300
019740,Denver - Aurora MSA,80000000,Other Services,2018-01-01,56300,57000
024300,Grand Junction MSA,80000000,Other Services,2018-01-01,2500,2500
014500,Boulder-Longmont MSA,80000000,Other Services,2018-01-01,6000,6200
022660,Fort Collins-Loveland MSA,80000000,Other Services,2018-01-01,6100,6100
039380,Pueblo MSA,80000000,Other Services,2018-01-01,2100,2100
024540,Greeley MSA,80000000,Other Services,2018-01-01,3500,3500
017820,Colorado Springs MSA,80000000,Other Services,2018-01-01,17200,17200
000000,Colorado,80000000,Other Services,2018-01-01,108100,108800
019740,Denver - Aurora MSA,80811000,Repair and Maintenance,2018-01-01,13700,13800
000000,Colorado,80811000,Repair and Maintenance,2018-01-01,25400,25500
000000,Colorado,80812000,Personal and Laundry Services,2018-01-01,28800,29100
000000,Colorado,80813000,"Religious, Grantmaking, Civic, Professio",2018-01-01,53900,54200
022660,Fort Collins-Loveland MSA,90000000,Government,2018-01-01,39000,40600
